sensor_point5_i_value,sensor_point6_i_value,sensor_point7_i_value,sensor_point8_i_value,sensor_point9_i_value,sensor_point10_i_value,clean_temp,clean_ec,clean_ph4,clean_ph5,clean_ph7,clean_ph8,clean_pressure11,clean_pressure12,clean_pressure21,clean_pressure22,clean_pressure23,clean_pressure31,clean_pressure33,clean_pressure41,clean_pressure42,clean_pressure51,clean_pressure52,clean_pressure61,clean_pressure62,clean_pressure71,clean_pressure72,clean_pressure81,clean_pressure82,clean_pressure91,clean_pressure92,clean_pressure101,clean_pressure102,oven_pa1,oven_pa2,oven_pb1,oven_pb2,oven_a1,oven_a2,oven_a3,oven_b1,oven_b2,oven_b3,painting_g1_act_a_air,painting_g1_act_f_air,painting_g1_act_t_air,painting_g1_act_hvv,painting_g1_act_hvc,painting_g2_act_a_air,painting_g2_act_f_air,painting_g2_act_t_air,painting_g2_act_hvv,painting_g2_act_hvc,painting_g3_act_a_air,painting_g3_act_f_air,painting_g3_act_t_air,painting_g3_act_hvv,painting_g3_act_hvc,painting_g4_act_a_air,painting_g4_act_f_air,painting_g4_act_t_air,painting_g4_act_hvv,painting_g4_act_hvc,painting_g5_act_a_air,painting_g5_act_f_air,painting_g5_act_t_air,painting_g5_act_hvv,painting_g5_act_hvc,painting_g6_act_a_air,painting_g6_act_f_air,painting_g6_act_t_air,painting_g6_act_hvv,painting_g6_act_hvc,painting_g7_act_a_air,painting_g7_act_f_air,painting_g7_act_t_air,painting_g7_act_hvv,painting_g7_act_hvc,painting_g8_act_a_air,painting_g8_act_f_air,painting_g8_act_t_air,painting_g8_act_hvv,painting_g8_act_hvc,painting_g9_act_a_air,painting_g9_act_f_air,painting_g9_act_t_air,painting_g9_act_hvv,painting_g9_act_hvc,painting_g10_act_a_air,painting_g10_act_f_air,painting_g10_act_t_air,painting_g10_act_hvv,painting_g10_act_hvc,painting_g11_act_a_air,painting_g11_act_f_air,painting_g11_act_t_air,painting_g11_act_hvv,painting_g11_act_hvc,painting_g12_act_a_air,painting_g12_act_f_air,painting_g12_act_t_air,painting_g12_act_hvv,painting_g12_act_hvc,env_rpi05_hum,env_rpi05_pm1,env_rpi05_pm10,env_rpi05_pm25,env_rpi05_temp,env_rpi07_hum,env_rpi07_pm1,env_rpi07_pm10,env_rpi07_pm25,env_rpi07_temp,env_rpi09_hum,env_rpi09_lux,env_rpi09_pm1,env_rpi09_pm10,env_rpi09_pm25,env_rpi09_temp,env_rpi14_hum,env_rpi14_lux,env_rpi14_pm1,env_rpi14_pm10,env_rpi14_pm25,env_rpi14_temp,env_rpi15_hum,env_rpi15_lux,env_rpi15_pm1,env_rpi15_pm10,env_rpi15_pm25,env_rpi15_temp
42,56,82,41,73,45,41.1,12.4,,,,6.9,820.24,1262.82,883.46,630.74,640.79,509.75,716.48,1065.79,817.12,833.01,604.2,1139.1,648.61,707.22,1196.38,903.51,825.09,905.59,742.77,414.85,455.39,175.85,203.06,207.45,198.49,174.87,207.38,211.92,190.48,215.01,207.86,7.65,140.93,258.92,56.37,18.78,7.21,150.62,261.26,52.5,23.83,7.03,141.84,255.23,51.51,25.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,137.76,253.8,56.69,11.2,7.15,137.1,253,53.26,23.84,7.23,137.79,254.08,56.6,18.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,0,0,0,0,0,0,48.96,0,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42,34.78
37,60,58,40,64,42,41.1,12.4,,,,6.9,820.15,1263,883.6,630.7,640.8,509.7,716.5,1065.9,817.05,833.05,604.2,1139.05,648.6,706.95,1196.6,903.6,825.15,905.4,742.8,414.65,455.25,176,203.01,207.4,198.35,174.85,207.37,211.9,190.42,215.02,207.85,7.09,125.88,231.92,51.55,17.1,7.04,146.06,253.31,50.61,23.45,7.13,137.42,247.36,49.82,24.54,0.4,5.41,9.48,1.9,1.04,0,0,0,0,0,0,0,0,0,0,5.73,123.67,227.93,50.22,9.93,6.41,128.27,236.76,50.1,21.9,6.4,128.93,237.57,53.6,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,0,0,0,0,0,0,48.96,0,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42,34.78
35,66,62,39,86,45,41.1,12.4,,,,6.9,820.15,1263,883.6,630.7,640.8,509.7,716.5,1065.9,817.05,833.05,604.2,1139.05,648.6,706.95,1196.6,903.6,825.15,905.4,742.8,414.65,455.25,176,203.01,207.4,198.35,174.85,207.37,211.9,190.42,215.02,207.85,7.09,125.88,231.92,51.55,17.1,7.04,146.06,253.31,50.61,23.45,7.13,137.42,247.36,49.82,24.54,0.4,5.41,9.48,1.9,1.04,0,0,0,0,0,0,0,0,0,0,5.73,123.67,227.93,50.22,9.93,6.41,128.27,236.76,50.1,21.9,6.4,128.93,237.57,53.6,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,0,0,0,0,0,0,48.96,0,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42,34.78
37,58,58,42,52,39,41.1,12.4,,,,6.9,820.15,1263,883.6,630.7,640.8,509.7,716.5,1065.9,817.05,833.05,604.2,1139.05,648.6,706.95,1196.6,903.6,825.15,905.4,742.8,414.65,455.25,176,203.01,207.4,198.35,174.85,207.37,211.9,190.42,215.02,207.85,7.09,125.88,231.92,51.55,17.1,7.04,146.06,253.31,50.61,23.45,7.13,137.42,247.36,49.82,24.54,0.4,5.41,9.48,1.9,1.04,0,0,0,0,0,0,0,0,0,0,5.73,123.67,227.93,50.22,9.93,6.41,128.27,236.76,50.1,21.9,6.4,128.93,237.57,53.6,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.24,60.33,75.83,69.5,29.05,48.98,11.33,17.16,14.16,26.21,0,0,0,0,0,0,48.96,0,26.33,47.5,37.33,34.41,43.73,0.5,29.5,51.5,42,34.78
57,78,62,51,64,65,41.1,12.4,,,,6.9,820.78,1264,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17,26.42,0,0,0,0,0,0,48.78,0,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82
42,72,84,54,56,64,41.1,12.4,,,,6.9,820.78,1264,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17,26.42,0,0,0,0,0,0,48.78,0,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82
48,72,92,41,76,48,41.1,12.4,,,,6.9,820.78,1264,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17,26.42,0,0,0,0,0,0,48.78,0,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82
49,60,78,33,49,55,41.1,12.4,,,,6.9,820.78,1264,883.31,630.74,640.69,508.91,715.64,1065.94,816.86,833.03,604.26,1138.81,648.16,705.34,1196.08,902.72,824.85,905,742.62,413.86,454.2,176.2,202.81,205.96,197.1,174.86,207.41,212,190.9,215.23,207.72,7.66,130.16,261.21,54.59,23.59,7.29,154.83,260.25,52.31,26.19,7.07,147.8,265.26,48.99,28.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,127.7,245.01,52.56,12.39,6.95,132.45,244.33,49.81,24.82,7.15,131.71,242.71,50.92,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17,26.42,0,0,0,0,0,0,48.78,0,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82
41,72,70,47,67,60,41.9,12.5,,,,7,821.01,1266.62,883.79,630.74,640.83,508.47,714.9,1066.8,817.4,832.91,604.02,1138.47,647.77,703.14,1193.79,903.14,825.18,905.55,743.65,414.25,453.93,175.78,203.43,202.32,195.88,174.16,206.63,211.8,191.06,214.99,207.8,6.71,111.35,229.25,48.44,21.6,6.6,141.83,225.62,45.58,22.87,6.29,124.67,224.46,44.87,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,111.3,216.54,44.9,11.5,5.97,116.97,215.7,42.55,22.23,6.08,112.44,207.06,45.19,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17,26.42,0,0,0,0,0,0,48.78,0,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82
46,70,74,46,62,60,41.9,12.5,,,,7,821.01,1266.62,883.79,630.74,640.83,508.47,714.9,1066.8,817.4,832.91,604.02,1138.47,647.77,703.14,1193.79,903.14,825.18,905.55,743.65,414.25,453.93,175.78,203.43,202.32,195.88,174.16,206.63,211.8,191.06,214.99,207.8,6.71,111.35,229.25,48.44,21.6,6.6,141.83,225.62,45.58,22.87,6.29,124.67,224.46,44.87,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,111.3,216.54,44.9,11.5,5.97,116.97,215.7,42.55,22.23,6.08,112.44,207.06,45.19,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.02,60.71,75.85,69.71,29.12,49.96,13.42,20.14,17,26.42,0,0,0,0,0,0,48.78,0,26.71,48.85,38.14,34.48,43.94,0.42,29.71,51.85,42.42,34.82
35,72,92,47,58,62,41.9,12.5,,,,7,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124,223.23,45.16,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.82,61.37,76.25,70.62,29.2,51.11,15,22.62,19,26.61,0,0,0,0,0,0,48.63,0,26.87,48.62,38,34.57,43.95,0.5,30.37,53,43.37,34.91
35,56,64,42,70,45,41.9,12.5,,,,7,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124,223.23,45.16,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.82,61.37,76.25,70.62,29.2,51.11,15,22.62,19,26.61,0,0,0,0,0,0,48.63,0,26.87,48.62,38,34.57,43.95,0.5,30.37,53,43.37,34.91
61,68,80,43,52,39,41.9,12.5,,,,7,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124,223.23,45.16,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.82,61.37,76.25,70.62,29.2,51.11,15,22.62,19,26.61,0,0,0,0,0,0,48.63,0,26.87,48.62,38,34.57,43.95,0.5,30.37,53,43.37,34.91
61,70,60,44,62,44,41.9,12.5,,,,7,820.26,1266.29,882.58,630.71,640.93,507.85,714.19,1065.49,817.23,832.32,603.52,1137.85,647.27,702.27,1192.41,902.14,824.91,905.04,743.48,415.08,454.64,175.92,203.8,206.47,199.14,175.17,207.35,212.03,190.66,214.86,207.84,6.54,107.4,220.99,46.27,19.38,6.23,138.6,220.6,45.49,21.29,6.18,124,223.23,45.16,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68,114.48,222.63,48.37,11.45,6.81,120.56,222.4,45.72,22.13,6.22,121.63,223.44,48.08,17.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.82,61.37,76.25,70.62,29.2,51.11,15,22.62,19,26.61,0,0,0,0,0,0,48.63,0,26.87,48.62,38,34.57,43.95,0.5,30.37,53,43.37,34.91
62,66,82,33,70,72,41.1,10.67,,,,6.75,810.2,1266.53,885.96,630.76,642.8,257.19,713.82,1072.04,817.95,828.01,603.97,1031.47,647.24,686.83,1181.73,900.45,830.66,902.8,744.03,0,455.2,175.98,203.67,202.22,190.36,185.8,216.9,217.21,190.88,215.65,207.37,0,0,0,0,0,8.2,154.23,275.07,49.88,15.26,9.39,182.92,336.04,60.87,17.44,8.52,172.25,289.25,52.34,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,137.86,254.93,48.91,9.21,8.88,165.05,306.85,58.3,15.11,7.37,147.2,258.63,44.56,15.7,0,0,0,0,0,0,0,0,0,0,61.93,53.28,66.57,55.71,30.53,56.32,7,10.28,7.85,28.35,0,0,0,0,0,0,46.79,0,17.71,30.14,24.42,36.16,41.48,0.42,13.71,21.42,18.14,37.81
63,72,82,35,74,74,41.1,10.67,,,,6.75,810.2,1266.53,885.96,630.76,642.8,257.19,713.82,1072.04,817.95,828.01,603.97,1031.47,647.24,686.83,1181.73,900.45,830.66,902.8,744.03,0,455.2,175.98,203.67,202.22,190.36,185.8,216.9,217.21,190.88,215.65,207.37,0,0,0,0,0,8.2,154.23,275.07,49.88,15.26,9.39,182.92,336.04,60.87,17.44,8.52,172.25,289.25,52.34,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,137.86,254.93,48.91,9.21,8.88,165.05,306.85,58.3,15.11,7.37,147.2,258.63,44.56,15.7,0,0,0,0,0,0,0,0,0,0,61.93,53.28,66.57,55.71,30.53,56.32,7,10.28,7.85,28.35,0,0,0,0,0,0,46.79,0,17.71,30.14,24.42,36.16,41.48,0.42,13.71,21.42,18.14,37.81
58,84,97,34,70,67,41.1,10.67,,,,6.75,809.79,1266.37,885.76,630.71,642.9,249.48,713.72,1072.14,818.03,827.67,603.93,1031.47,647.19,686.93,1181.78,900.51,830.66,902.8,743.97,0,455.45,175.88,203.71,202.17,190.45,185.16,216.49,216.86,190.8,215.6,207.36,0,0,0,0,0,8.28,152.45,279.98,50.41,15.76,9.47,179.25,339.34,61.66,17.47,8.56,181.08,287.12,51.12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,129.77,264.98,51.66,11.15,9.51,157.33,320.31,61.21,16.11,7.84,139.22,267.76,47.68,15.47,0,0,0,0,0,0,0,0,0,0,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,0,0,0,0,0,0,46.84,0,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18,37.79
59,81,98,37,78,72,41.1,10.67,,,,6.75,809.79,1266.37,885.76,630.71,642.9,249.48,713.72,1072.14,818.03,827.67,603.93,1031.47,647.19,686.93,1181.78,900.51,830.66,902.8,743.97,0,455.45,175.88,203.71,202.17,190.45,185.16,216.49,216.86,190.8,215.6,207.36,0,0,0,0,0,8.28,152.45,279.98,50.41,15.76,9.47,179.25,339.34,61.66,17.47,8.56,181.08,287.12,51.12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,129.77,264.98,51.66,11.15,9.51,157.33,320.31,61.21,16.11,7.84,139.22,267.76,47.68,15.47,0,0,0,0,0,0,0,0,0,0,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,0,0,0,0,0,0,46.84,0,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18,37.79
67,76,80,48,72,74,41.1,10.67,,,,6.75,809.79,1266.36,885.7,630.65,642.92,247.57,713.58,1072.17,818.08,827.67,603.98,1031.46,647.27,687.02,1181.61,900.55,830.7,902.72,743.88,0,455.4,175.88,203.69,202.14,190.49,185.21,216.54,216.77,190.79,215.55,207.36,0,0,0,0,0,8.88,163.33,299.91,54.35,16.63,10.34,189.77,359.59,65.58,18.06,9.08,186.77,296.43,54.51,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,133.84,276.21,53.53,12.03,9.88,161.88,333.07,64.07,17.22,8.13,143.24,278.12,49.4,16.34,0,0,0,0,0,0,0,0,0,0,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,0,0,0,0,0,0,46.84,0,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18,37.79
56,92,86,35,66,78,41.1,10.67,,,,6.75,809.69,1266.26,885.65,630.5,642.92,246.21,713.58,1072.07,818.13,827.67,603.98,1031.46,647.27,687.02,1181.76,900.5,830.55,902.67,743.73,0,455.2,175.99,203.66,202.13,190.51,184.91,216.34,216.7,190.77,215.57,207.36,0,0,0,0,0,8.86,163.07,299.74,54.64,16.14,10.3,189.69,359.36,65.68,17.96,9.15,188.37,299.04,54.97,14.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,132.29,273.15,52.79,12,9.88,160.25,329.61,63.37,17.2,8.06,141.41,274.51,49.61,16.07,0,0,0,0,0,0,0,0,0,0,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,0,0,0,0,0,0,46.84,0,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18,37.79
68,66,68,48,82,76,41.1,10.67,,,,6.75,809.69,1266.26,885.65,630.5,642.92,246.21,713.58,1072.07,818.13,827.67,603.98,1031.46,647.27,687.02,1181.76,900.5,830.55,902.67,743.73,0,455.2,175.99,203.66,202.13,190.51,184.91,216.34,216.7,190.77,215.57,207.36,0,0,0,0,0,8.86,163.07,299.74,54.64,16.14,10.3,189.69,359.36,65.68,17.96,9.15,188.37,299.04,54.97,14.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,132.29,273.15,52.79,12,9.88,160.25,329.61,63.37,17.2,8.06,141.41,274.51,49.61,16.07,0,0,0,0,0,0,0,0,0,0,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,0,0,0,0,0,0,46.84,0,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18,37.79
62,76,68,40,82,82,41.1,10.67,,,,6.75,809.39,1266.16,885.7,630.45,642.82,245.2,713.53,1072.37,818.03,827.67,603.98,1031.56,647.32,687.02,1181.66,900.35,830.5,902.67,743.68,0,455.1,175.94,203.69,202.14,190.55,185.03,216.41,216.63,190.76,215.54,207.36,0,0,0,0,0,8.9,163.19,300.09,55.33,16.33,10.32,189.5,359.19,65.6,18.09,9.09,186.74,296.32,55.02,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,133.25,275,52.49,11.69,9.94,160.2,329.46,63.45,17.14,7.98,143.6,278.01,49.77,15.86,0,0,0,0,0,0,0,0,0,0,62.15,53.25,66.75,55.62,30.49,56.61,6.75,9.87,7.75,28.36,0,0,0,0,0,0,46.84,0,20.5,35.5,28.5,36.15,41.58,0.5,13.5,21.12,18,37.79
60,88,96,34,73,80,41.6,11.14,,,,6.7,810.2,1266.2,886.25,630.55,643.08,236.95,713.45,1072.12,818.55,828,604.2,1031.95,647.8,687,1181.05,900.65,830.4,902.8,743.8,0,455.35,175.84,203.64,202.03,190.72,185.26,216.4,216.23,190.73,215.49,207.33,0,0,0,0,0,9.06,161.39,297.78,55.05,15.44,9.9,189.59,359.34,64.93,18.86,9.09,189.07,300.14,56.65,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,137.28,283.08,54.8,11.83,9.79,164.83,339.04,65.01,17.01,8.32,149.84,289.59,50.89,16.11,0,0,0,0,0,0,0,0,0,0,62.41,53.28,66.85,55.71,30.45,57.15,6.85,10,7.85,28.31,0,0,0,0,0,0,47.61,0,21.28,37.57,30,35.92,42.08,0.42,13.71,21.57,18.42,37.66
58,74,114,40,88,78,41.6,11.14,,,,6.7,810.2,1266.2,886.25,630.55,643.08,236.95,713.45,1072.12,818.55,828,604.2,1031.95,647.8,687,1181.05,900.65,830.4,902.8,743.8,0,455.35,175.84,203.64,202.03,190.72,185.26,216.4,216.23,190.73,215.49,207.33,0,0,0,0,0,9.06,161.39,297.78,55.05,15.44,9.9,189.59,359.34,64.93,18.86,9.09,189.07,300.14,56.65,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,137.28,283.08,54.8,11.83,9.79,164.83,339.04,65.01,17.01,8.32,149.84,289.59,50.89,16.11,0,0,0,0,0,0,0,0,0,0,62.41,53.28,66.85,55.71,30.45,57.15,6.85,10,7.85,28.31,0,0,0,0,0,0,47.61,0,21.28,37.57,30,35.92,42.08,0.42,13.71,21.57,18.42,37.66
